motif_index_0based,motif_id,motif_title,motif_gloss,description_present,tradition_frequency,tradition_prevalence
606,f70e1_10,Daughter instead of son,An old man needs a son to accomplish a man’s work or service. (Only the youngest) daughter sets to do it (successfully passing her father’s test and) guised as a man,True,13,0.014038876889848811
607,f71_10,Susan and the old men (the innocent slandered maiden),"An innocent girl or young woman rejects a man who attempts to seduce her. The man accuses her of loose conduct, ultimately the truth comes to light",True,67,0.07235421166306695
608,f72_10,Imitated violence,A woman asks a man to tie her before copulation in such a way that a watcher would think she is raped,True,2,0.0021598272138228943
609,f73_5,The illusory wound,Person mistakes a vulva or an anus for a wound; vulva is a unhealed wound on the body of the primeval women,True,40,0.04319654427645788
610,f74_10,Naked person shams dead,"When a person sees a dangerous enemy, he or she shams dead taking his or her clothes off, or the enemy takes off them himself. The enemy believes that it is a corpse, lets it alone",True,19,0.020518358531317494
611,f75_5,A siren and a tapir,"A hunter watches tapir who calls a water woman from the river or lake and copulates with her. Hunter does the same, becomes the woman's lover",True,4,0.004319654427645789
612,f76_5,Animals teach to make love,"People learn to copulate after they see birds, fish or animals doing it",True,27,0.029157667386609073
613,f77a_8,Penis bridge,Huge penis is used as a bridge across water body,True,6,0.0064794816414686825
614,f78_5,Toothed anus,Person or creature has toothed anus or second head in place of the anus,True,6,0.0064794816414686825
615,f79_5,Animal wives,"Person marries several non-human wives in succession, every time (besides the last one) is disappointed",True,12,0.012958963282937365
616,f80_5,Primeval people have no genitals,The first men and/or women have no genitals,True,22,0.023758099352051837
617,f80a_5,Genitals apart from the body,"Genitals exist by themselves as separate beings, they can be stuck to the human body, remove, etc.",True,40,0.04319654427645788
618,f81_11,Bride in a river,A man mistakes his own reflection in river for a beautiful woman and makes attempts to marry her,True,10,0.01079913606911447
619,f82_11,Incest with mother-in-law,A man uses a trick to have opportunity to make love to his mother-in-law or woman uses a trick to make love to her son-in-law. Usually a man takes with him on a hunt not his wife but her mother,True,27,0.029157667386609073
620,f82a_11,What owl cries about,"To lure prohibited sexual partner into his or her hammock, person imitates or interpretes in a certain way voices of birds and animals",True,4,0.004319654427645789
621,f83_11,News precede man,"Person commits something shameful, obscene. Presumably, nobody could see him doing it. When he asks people, ""What's the news?"", they answer that so-and-so (this person) has done such a thing",True,20,0.02159827213822894
622,f83a_11,Indecent proposal made through children,Animal person comes to children of a big predator and tells them that he will copulate with their mother (or that he will beat her),True,28,0.03023758099352052
623,f84_11,Prolonged celibacy imitated,"Person has sex with the wife of his host or brother. Trying to conceal his deed, he puts ashes or juice of a fruit on his glans that has to prove his long celibacy",True,4,0.004319654427645789
624,f85_5,The Moon: contra men and pro women,The Moon (female or male) is the leader of women in their struggle against the men or leads the women away from the men,True,5,0.005399568034557235
625,f86_10,Signal for paramour to come out,"Person summons with a certain signal his or her sexual partner or ward who is of non-human nature. Another person spies, uses the same signal or pronounces the same words, kills those who come to him or uses them sexually himself",True,102,0.1101511879049676
626,f86a_10,An eaten up pet,"Person take care for a fish, crab or other small creature. Another person spies on him or her, kills the pet and eats it up or try to do it",True,11,0.011879049676025918
627,f87_7,Transformed children of serpent’s wife,"A girl marries snake, comes with her children to visit her relation. Her close kin (father, mother, brother) tries to get know from her children how their mother calls her husband. A girl tells the secret, mother (father, etc.) of the woman calls the snake with the same signal, kills him. Seeing  her husband dead, the woman transforms her children (and herself) into birds or trees",True,15,0.016198704103671708
628,f88_7,Odor of women,Initially women's genitals were fragrant or had no smell. Because of a bad chance they acquire unpleasant odor or do not acquire fragrant odor,True,18,0.019438444924406047
629,f89_7,A smart sister,"Sister and brother live alone. The brother rejects the incest. The sister makes him take her for unknown girl, marries him",True,9,0.009719222462203024
630,f90_10,A tragic incest,"Brother and sister marry each other. When their children get to know about the incest, they kill their parents, or father kills children, or parents suicide, or wife/sister suicides when her husband/brother has died",True,17,0.0183585313174946
631,f91_10,A worm-breeder,A man lets his wife to be eaten up by worms. She either dies or has a narrow escape,True,10,0.01079913606911447
632,f92_11,Homosexual play,A male person is tricked into being used sexually by another man,True,17,0.0183585313174946
633,f93_11,The talking penis,A man's member speaks and can be silenced only by his mother-in-law,True,7,0.00755939524838013
